mean,std,thresh,Result
0,1,Medium,1
0,1,High,1
0,1,Medium,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
0,1,High,1
0,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
0,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,Medium,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
0,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
0,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
1,1,High,1
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,High,0
0,0,High,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,High,0
0,0,High,0
1,0,High,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Medium,0
1,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,High,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
0,0,Low,0
1,0,Low,0
0,0,Low,0
1,0,Low,0
1,0,Low,0
1,0,Low,0
1,0,Low,0
1,0,Low,0
1,0,Low,0
1,0,Low,0
1,1,High,0
